id,user_id,amount,is_block,status,created_at,updated_at
1,1,100,0,1,1/7/2021 17:29,1/7/2021 17:29
2,2,100,0,1,1/7/2021 17:29,1/7/2021 17:29
3,3,100,0,1,1/7/2021 17:29,1/7/2021 17:29
4,4,100,0,1,1/7/2021 17:29,1/7/2021 17:29
5,5,100,0,1,1/7/2021 17:29,1/7/2021 17:29
6,6,100,0,1,1/7/2021 17:29,1/7/2021 17:29
7,7,100,0,1,1/7/2021 17:29,1/7/2021 17:29
8,8,100,0,1,1/7/2021 17:29,1/7/2021 17:29
9,9,100,0,1,1/7/2021 17:29,1/7/2021 17:29
10,10,100,0,1,1/7/2021 17:29,1/7/2021 17:29
11,11,100,0,1,1/7/2021 17:29,1/7/2021 17:29
12,12,100,0,1,1/7/2021 17:29,1/7/2021 17:29
13,13,100,0,1,1/7/2021 17:29,1/7/2021 17:29
14,14,100,0,1,1/7/2021 17:29,1/7/2021 17:29
15,15,100,0,1,1/7/2021 17:29,1/7/2021 17:29
16,16,100,0,1,1/7/2021 17:29,1/7/2021 17:29
